pred0,pred1
2.782107293216916e-08,0.9999999721789271
1.0,4.473331668379269e-30
1.0,5.727938879203669e-34
0.9999999999999998,3.324542669009539e-16
0.9999996838679062,3.161320937336277e-07
0.9346548813732538,0.06534511862674619
0.9407177846904009,0.05928221530959914
4.621822795330095e-05,0.9999537817720466
0.9999870735749653,1.2926425034771186e-05
0.999999984137959,1.58620409668248e-08
0.9628424194960197,0.03715758050398041
0.6451026589062463,0.3548973410937538
1.5360123821390246e-07,0.9999998463987619
0.4781449241651254,0.5218550758348747
0.9999999999955889,4.411057772418749e-12
0.9999999999985263,1.47364724138946e-12
0.08751252182373802,0.912487478176262
0.9999987952175802,1.2047824198738332e-06
1.0,2.6157053037654868e-17
0.9999999999635367,3.646333295795071e-11
0.2549253052537469,0.7450746947462531
0.6049844240993218,0.3950155759006781
0.9999499205245775,5.007947542230525e-05
0.9999065912084957,9.340879150437696e-05
0.9999993725343443,6.274656557150309e-07
0.09060804270216508,0.9093919572978348
0.09674442881866431,0.9032555711813357
0.9829706399071328,0.017029360092867145
0.9999999155113326,8.448866741259722e-08
0.999876369582276,0.00012363041772404685
0.9987435837053574,0.0012564162946425781
1.904512561384269e-06,0.9999980954874387
0.9996021526599846,0.00039784734001527223
0.9523629355545697,0.04763706444543025
0.00039183482041837574,0.9996081651795816
3.3187273916075717e-07,0.9999996681272609
3.2082369675146375e-10,0.9999999996791764
3.0174007423107592e-05,0.999969825992577
3.258886454493831e-06,0.9999967411135455
1.4383145456258893e-07,0.9999998561685455
6.966656079165044e-09,0.9999999930333439
0.8853158488692352,0.11468415113076488
0.8151293338076864,0.18487066619231363
0.9999995505667413,4.4943325859960036e-07
0.034571841052639406,0.9654281589473607
0.9999999209204715,7.907952837265618e-08
1.0,1.5312416065702053e-23
0.0014010199993010949,0.9985989800006988
1.7397169294271195e-15,0.9999999999999982
1.0203275298352117e-09,0.9999999989796724
1.0,4.869722164638501e-30
1.0,7.384551474074303e-21
1.0,2.4409357173273462e-20
1.0,6.253927443949829e-22
1.0,8.00666201248285e-18
6.603123263469973e-11,0.9999999999339688
1.0,1.5674121500066705e-24
1.3594434976423645e-13,0.9999999999998641
1.0,3.9176087360567085e-18
0.9999999999999998,1.7446094178410198e-16
0.9999999999999802,1.9800052005975175e-14
0.9999999999999993,5.78254019687688e-16
0.9999999999999976,2.378492268488494e-15
0.9999999999999998,1.1269526828706553e-16
0.99999999999995,5.00050498078582e-14
0.9921450833395402,0.007854916660459855
4.817838649071702e-07,0.9999995182161351
1.0,3.3330399008645507e-19
