Date,ADANIPORTS,AMBUJACEM,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BPCL,BHARTIARTL,INDUSTOWER,BOSCHLTD,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,HCLTECH,HDFCBANK,HEROMOTOCO,HINDALCO,HINDPETRO,HINDUNILVR,HDFC,ICICIBANK,IBULHSGFIN,ITC,IOC,INDUSINDBK,INFY,KOTAKBANK,LUPIN,LT,M&M,MARUTI,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TCS,TATAMOTORS,TATASTEEL,TECHM,UPL,ULTRACEMCO,VEDL,WIPRO,YESBANK,ZEEL,^NSEI
2013-01-01,131.6709442138672,168.8760223388672,413.945556640625,92.28022003173828,258.4648742675781,1694.256103515625,128.03602600097656,73.37801361083984,281.5091857910156,137.81338500976562,8747.2626953125,401.8272705078125,184.47824096679688,1706.09375,256.7846984863281,78.68717193603516,133.95643615722656,322.92193603515625,1478.9119873046875,125.36602020263672,38.23771286010742,459.9351806640625,728.5680541992188,187.39028930664062,,154.88816833496094,42.79018020629883,405.4710693359375,233.81944274902344,323.2208557128906,584.488037109375,621.2822875976562,441.0555725097656,1398.22509765625,91.01353454589844,128.0108642578125,63.88920974731445,389.052978515625,224.4749755859375,352.5837707519531,529.7132568359375,309.8193054199219,338.0247802734375,196.71636962890625,79.73207092285156,1963.46240234375,120.91569519042969,137.04779052734375,87.24320983886719,209.7527313232422,
2013-01-02,132.29202270507812,170.92628479003906,409.1632080078125,96.21566772460938,263.04541015625,1750.1644287109375,126.62920379638672,75.46836853027344,280.5914611816406,140.42677307128906,8829.02734375,404.7149658203125,183.8376007080078,1707.9056396484375,250.83740234375,80.30538177490234,134.62388610839844,324.2664489746094,1485.14794921875,126.16038513183594,39.16133499145508,459.8485107421875,740.5073852539062,189.90565490722656,,153.890625,43.64870834350586,414.8114929199219,233.85479736328125,326.6770935058594,584.6781616210938,630.707275390625,439.55694580078125,1437.9266357421875,92.18414306640625,131.33486938476562,63.46833801269531,392.4080505371094,226.70449829101562,353.25128173828125,529.357177734375,311.0419921875,337.9861755371094,197.99102783203125,79.310546875,1975.54736328125,123.53369140625,135.96009826660156,89.22767639160156,217.0778350830078,5993.25
2013-01-03,132.14869689941406,172.7673797607422,411.47955322265625,96.45417785644531,263.6334228515625,1760.2177734375,130.03843688964844,75.42716979980469,286.6656494140625,142.41294860839844,8767.017578125,402.2122802734375,184.73452758789062,1749.3558349609375,251.2678680419922,79.99716186523438,134.774658203125,322.3794250488281,1471.5853271484375,125.59963989257812,39.332862854003906,461.4519958496094,739.5452880859375,189.59024047851562,,152.89306640625,43.57648849487305,416.0569152832031,236.76133728027344,325.6825256347656,578.9255981445312,625.851318359375,438.5267028808594,1424.908447265625,92.21340942382812,133.82196044921875,64.05756378173828,398.3315124511719,228.65187072753906,349.88995361328125,536.6062622070312,311.1397705078125,341.1875,198.33871459960938,82.38178253173828,1965.4522705078125,124.44697570800781,137.3585662841797,90.02328491210938,217.12481689453125,6009.5
2013-01-04,131.38427734375,172.4744873046875,411.9755859375,96.1917953491211,261.54705810546875,1752.826904296875,130.0994110107422,77.02324676513672,285.7916564941406,144.36427307128906,8708.548828125,400.5758972167969,186.45140075683594,1755.907958984375,247.96914672851562,81.7144546508789,136.51864624023438,320.4924011230469,1471.5853271484375,123.87081146240234,41.40440368652344,463.4891357421875,732.7227783203125,191.26441955566406,,152.27296447753906,45.117034912109375,412.65606689453125,237.94110107421875,323.3451843261719,574.7893676757812,622.4674682617188,440.7979431152344,1426.8934326171875,93.00354766845703,136.2133331298828,64.5064926147461,398.8406066894531,230.048828125,350.5097351074219,544.3998413085938,308.49884033203125,334.399169921875,198.58102416992188,81.83979797363281,1982.0025634765625,122.80308532714844,139.3785858154297,89.44715881347656,213.2274627685547,6016.14990234375
2013-01-07,133.82086181640625,170.591552734375,411.25958251953125,96.16796875,260.3900451660156,1745.912841796875,129.9071044921875,79.3916015625,285.6168518066406,144.53854370117188,8692.5693359375,408.4690856933594,184.60638427734375,1754.281494140625,249.7919921875,80.65765380859375,135.19447326660156,315.23223876953125,1478.8734130859375,125.59963989257812,43.416561126708984,455.42767333984375,719.8211059570312,191.22398376464844,,150.4666290283203,45.133087158203125,413.2308044433594,240.4982147216797,322.4749450683594,569.3695678710938,607.230712890625,446.8392028808594,1463.0400390625,92.24266815185547,137.7438201904297,64.1978530883789,396.4110412597656,228.28182983398438,354.80084228515625,542.5772705078125,306.3958740234375,340.1075439453125,195.3257598876953,82.65278625488281,1980.8372802734375,123.38150787353516,139.82742309570312,91.12983703613281,209.65879821777344,5988.39990234375
2013-01-08,131.33651733398438,169.04339599609375,411.2362365722656,95.73863220214844,258.0096130371094,1747.14453125,129.7898712158203,78.41336059570312,288.6758117675781,141.43728637695312,8646.07421875,413.42633056640625,184.63201904296875,1773.3798828125,245.5137939453125,80.26136779785156,136.65863037109375,316.1993713378906,1466.245849609375,124.29133605957031,42.651275634765625,455.5143737792969,734.9969482421875,190.80340576171875,,154.05238342285156,45.14913558959961,415.5300598144531,237.37905883789062,324.6133117675781,568.561279296875,599.1058959960938,448.78265380859375,1454.0379638671875,92.15485382080078,138.74819946289062,65.34823608398438,393.6575622558594,230.6640167236328,359.7117004394531,544.8402099609375,307.2762145996094,334.2835388183594,195.1887969970703,82.8635482788086,1959.9195556640625,121.58539581298828,137.4794464111328,91.38590240478516,210.36314392089844,6001.7001953125
2013-01-09,129.1387939453125,164.85914611816406,408.4332275390625,93.7351303100586,255.9896697998047,1714.9188232421875,128.608154296875,79.43279266357422,291.6910400390625,142.90077209472656,8581.736328125,412.3674621582031,186.400146484375,1775.9359130859375,243.1023712158203,81.59335327148438,136.9062042236328,314.90203857421875,1440.212158203125,123.40354919433594,44.32038497924805,450.1399841308594,725.9876708984375,190.948974609375,,150.70925903320312,45.951507568359375,416.2964172363281,236.06251525878906,322.7981262207031,563.18896484375,592.5294189453125,451.6627502441406,1449.190673828125,91.130615234375,139.75259399414062,64.84320068359375,394.6062316894531,233.3884735107422,362.9300537109375,534.9300537109375,320.1873779296875,325.7596435546875,197.92784118652344,81.9000244140625,1904.78564453125,119.85017395019531,137.099609375,92.21808624267578,209.7527313232422,5971.5
2013-01-10,129.75990295410156,160.46571350097656,408.2974853515625,91.03993225097656,259.4701843261719,1699.22314453125,131.81573486328125,78.4339599609375,288.4573059082031,142.93563842773438,8687.724609375,409.5278625488281,187.39955139160156,1775.1458740234375,246.51084899902344,80.89984893798828,138.14427185058594,318.8175964355469,1441.0302734375,121.53450775146484,43.57489776611328,447.7995910644531,722.0515747070312,190.79531860351562,,151.51806640625,45.919403076171875,422.6670837402344,235.18153381347656,325.1603088378906,556.2952880859375,591.3441162109375,450.18756103515625,1451.6834716796875,90.0185317993164,144.5592803955078,63.91727066040039,393.3799133300781,234.8964080810547,359.6163330078125,527.3037109375,326.3984375,324.3711242675781,205.5550537109375,82.44200897216797,1843.43994140625,117.68883514404297,136.59889221191406,94.27570343017578,212.05357360839844,5968.64990234375
2013-01-11,125.84228515625,155.9885711669922,402.37811279296875,88.0108413696289,258.73040771484375,1683.2891845703125,129.89773559570312,76.35392761230469,284.2184753417969,143.1795654296875,8573.208984375,405.7257080078125,184.83700561523438,1765.6661376953125,246.92372131347656,80.23934936523438,138.84402465820312,315.7511901855469,1433.7813720703125,118.7309341430664,43.01412582397461,431.76348876953125,708.0565795898438,188.2152557373047,,147.42007446289062,45.69474411010742,412.94342041015625,274.6568603515625,313.2997131347656,558.8151245117188,585.74267578125,439.2290954589844,1445.17431640625,89.37470245361328,139.8243408203125,63.49638366699219,388.6827392578125,230.4512176513672,352.4645690917969,547.396240234375,323.1706237792969,321.9026184082031,208.45211791992188,80.66551208496094,1828.0546875,118.35855102539062,145.00686645507812,91.15726470947266,218.1578369140625,5951.2998046875
2013-01-14,130.23765563964844,159.04306030273438,408.5642395019531,91.61238861083984,262.9032287597656,1663.6199951171875,130.72779846191406,76.84819030761719,287.2774658203125,144.81727600097656,8579.638671875,400.7203063964844,184.06825256347656,1777.93408203125,242.85638427734375,81.659423828125,144.86203002929688,315.7511901855469,1436.704345703125,119.85235595703125,43.535308837890625,438.00457763671875,723.4073486328125,191.70924377441406,,149.84652709960938,46.232330322265625,421.6611633300781,284.2168884277344,312.57861328125,550.6377563476562,594.4793701171875,437.87103271484375,1421.030517578125,90.16487121582031,145.9940948486328,62.87910079956055,392.22296142578125,231.25608825683594,350.5812683105469,559.1917724609375,320.5296936035156,326.91668701171875,211.11741638183594,83.19477081298828,1811.4078369140625,119.85017395019531,144.73062133789062,92.63875579833984,218.5334930419922,6024.0498046875
